lon,lat,log_ppt_2025_standardized
-115.8958333336985,49.000000000037005,0.71680653
-104.041666667506,45.1458333335245,1.8422887
-111.09583333389052,44.5125000002165,0.9711523
-107.76250000069052,48.9791666667045,-0.80591583
-111.7958333338625,48.9791666667045,0.09700343
-104.12916666750252,48.9458333333725,0.5164706
-114.55000000041902,45.625000000172,0.7484587
-107.62916666736253,45.4458333335125,1.5537353
-109.89583333393853,47.0791666667805,-0.17717403
-105.96250000076252,47.2791666667725,0.9204982
-113.82916666711452,47.8458333334165,1.029513
-112.29583333384252,46.3791666668085,0.9554676
-109.72916666727852,48.9791666667045,-0.39277306
-113.02575757623757,44.54848484869991,0.93880653
-105.82916666743452,45.3791666668485,1.4632308
-104.09583333417052,47.1458333334445,1.0227454
-108.12916666734252,47.2458333334405,-0.03704748
-109.49583333395452,45.1791666668565,0.9809911
-106.12916666742252,48.9791666667045,0.023495391
-115.29583333372253,47.6125000000925,0.72867763
-111.49583333387451,47.5458333334285,0.2365285
-110.96250000056251,45.9791666668245,1.3553953
-113.02916666714653,48.8125000000445,0.47928253
-113.56250000045851,46.6458333334645,1.3083663
-114.66250000041452,48.7458333333805,0.23799166
-104.96250000080252,48.0125000000765,0.35998026
-106.99583333405452,48.0458333334085,-0.020692546
-106.96250000072251,46.6458333334645,1.6894525
-108.59583333399053,46.0458333334885,0.95179176
-108.92916666731053,48.1791666667365,-1.206675
-105.26250000079052,46.4125000001405,1.5561962
-110.36250000058652,48.0791666667405,-1.1282092
-112.02916666718652,45.31250000018451,0.9397495
-112.79583333382251,47.5791666667605,0.65420514
-114.76250000041053,46.7791666667925,0.5685242
-113.42916666713052,45.6791666668365,0.90819466
-109.76250000061052,46.1125000001525,0.3187528
-106.69583333406652,45.74583333350051,1.4763244
-110.66250000057452,48.9458333333725,-0.4271468
-104.92916666747053,45.5125000001765,1.7910616
-110.79583333390252,46.9791666667845,0.27031168
-104.09583333417052,48.0125000000765,0.9070828
-105.2958333341225,48.8125000000445,0.39573872
-112.16250000051453,48.2125000000685,0.61395895
-106.12916666742252,46.4458333334725,1.5298318
-109.06250000063852,46.945833333452505,0.36493763
-108.06250000067853,48.0791666667405,-0.5200316
-104.46250000082252,46.2458333334805,1.4764881
-105.12916666746251,47.2125000001085,1.1203462
-110.2625000005905,45.4791666668445,1.4976861
-108.49583333399453,45.2458333335205,0.8648349
-111.26250000055052,48.3791666667285,-0.14045869
-108.5291666673265,48.8458333333765,-2.1339548
-106.22916666741853,48.0791666667405,0.75380194
-106.86250000072653,45.0125000001965,0.7836304
-109.6291666672825,47.912500000080506,-0.9124149
-113.76250000045052,48.679166666716505,0.73499566
-114.49583333375452,47.5125000000965,0.83791924
-111.9958333338545,44.5791666668805,1.2956367
-112.76250000049052,45.3458333335165,0.9969531
-107.96250000068252,46.5458333334685,0.97525585
-111.22916666721852,45.31250000018451,1.401941
-107.12916666738252,47.3458333334365,0.3169529
-114.1625000004345,46.2125000001485,1.1378027
-115.32916666705452,48.3125000000645,1.0236413
-110.39583333391852,46.3458333334765,0.5400909
-112.36250000050651,47.045833333448506,0.7411072
-111.62916666720253,46.0125000001565,0.46399432
-107.0291666673865,48.7125000000485,-1.0091513
-112.89583333381852,46.0458333334885,1.1225802
-105.62916666744252,47.8458333334165,0.15160748
-113.19583333380652,48.0791666667405,0.6008578
-111.29583333388253,46.5791666668005,1.2235216
-114.66250000041452,48.1125000000725,0.9097435
-112.8625000004865,46.6791666667965,0.92997384
-115.82916666703451,47.912500000080506,0.7772011
-104.59583333415053,47.479166666764506,0.9707937
-109.12916666730251,45.7791666668325,0.74701357
-104.52916666748652,48.5125000000565,0.40923262
-107.4625000007025,46.2458333334805,1.2931224
-105.59583333411052,45.9125000001605,1.5525423
-105.22916666745851,45.01666666686301,1.8702755
-112.36250000050651,48.8791666667085,0.60933155
-113.92916666711052,47.2791666667725,0.98704356
-105.7291666674385,48.4125000000605,0.7012411
-106.52916666740651,47.2125000001085,1.9112021
-108.86250000064652,47.6125000000925,-0.4928065
-109.26250000063052,46.4125000001405,0.44922706
-112.06250000051853,47.5458333334285,0.7482425
-110.62916666724252,47.5791666667605,0.25674924
-113.42916666713052,44.9458333335325,0.8221717
